Ambient
X=-0.037 Y=-0.606 Z=0.795
X=-0.070 Y=0.424 Z=-0.903
X=-0.084 Y=0.505 Z=0.859
X=-0.085 Y=0.929 Z=0.360
X=-0.093 Y=-0.687 Z=-0.721
X=-0.129 Y=-0.869 Z=0.478
X=-0.129 Y=0.990 Z=0.058
X=-0.153 Y=0.949 Z=-0.274
X=-0.176 Y=-0.182 Z=0.967
X=-0.180 Y=-0.970 Z=0.165
X=-0.210 Y=-0.000 Z=-0.978
X=-0.211 Y=0.687 Z=-0.696
X=-0.244 Y=-0.848 Z=-0.470
X=-0.299 Y=0.242 Z=0.923
X=-0.306 Y=-0.424 Z=-0.852
X=-0.322 Y=0.667 Z=0.672
X=-0.346 Y=-0.444 Z=0.826
X=-0.400 Y=0.263 Z=-0.878
X=-0.401 Y=0.828 Z=0.391
X=-0.407 Y=-0.707 Z=0.578
X=-0.410 Y=-0.909 Z=-0.073
X=-0.453 Y=0.889 Z=-0.066
X=-0.467 Y=0.788 Z=-0.401
X=-0.506 Y=-0.020 Z=0.863
X=-0.511 Y=0.525 Z=-0.680
X=-0.519 Y=-0.586 Z=-0.622
X=-0.526 Y=-0.162 Z=-0.835
X=-0.545 Y=-0.808 Z=0.225
X=-0.564 Y=0.404 Z=0.720
X=-0.575 Y=-0.747 Z=-0.333
X=-0.651 Y=-0.283 Z=0.704
X=-0.672 Y=0.727 Z=0.141
X=-0.688 Y=-0.545 Z=0.479
X=-0.698 Y=0.101 Z=-0.709
X=-0.700 Y=0.566 Z=0.436
X=-0.730 Y=0.626 Z=-0.275
X=-0.748 Y=-0.323 Z=-0.579
X=-0.762 Y=-0.646 Z=0.032
X=-0.763 Y=0.141 Z=0.631
X=-0.781 Y=0.364 Z=-0.508
X=-0.833 Y=-0.485 Z=-0.266
X=-0.883 Y=-0.121 Z=0.453
X=-0.885 Y=0.465 Z=-0.009
X=-0.893 Y=-0.384 Z=0.235
X=-0.898 Y=0.303 Z=0.318
X=-0.902 Y=-0.061 Z=-0.427
X=-0.954 Y=0.202 Z=-0.220
X=-0.971 Y=-0.222 Z=-0.090
X=-0.992 Y=0.040 Z=0.124
X=0.005 Y=-0.263 Z=-0.965
X=0.027 Y=-0.949 Z=-0.313
X=0.030 Y=0.848 Z=-0.528
X=0.036 Y=0.081 Z=0.996
X=0.076 Y=0.768 Z=0.636
X=0.136 Y=0.162 Z=-0.977
X=0.142 Y=-0.990 Z=0.000
X=0.159 Y=-0.343 Z=0.926
X=0.187 Y=-0.525 Z=-0.830
X=0.192 Y=-0.768 Z=0.611
X=0.218 Y=0.586 Z=-0.781
X=0.225 Y=-0.929 Z=0.293
X=0.232 Y=0.970 Z=0.077
X=0.235 Y=0.343 Z=0.909
X=0.261 Y=-0.788 Z=-0.558
X=0.314 Y=0.869 Z=0.383
X=0.344 Y=0.909 Z=-0.235
X=0.346 Y=-0.101 Z=-0.933
X=0.360 Y=0.606 Z=0.709
X=0.376 Y=-0.081 Z=0.923
X=0.387 Y=-0.889 Z=-0.246
X=0.387 Y=0.747 Z=-0.540
X=0.429 Y=-0.505 Z=0.749
X=0.444 Y=0.323 Z=-0.836
X=0.504 Y=-0.364 Z=-0.784
X=0.526 Y=-0.828 Z=0.192
X=0.553 Y=-0.626 Z=-0.550
X=0.558 Y=0.182 Z=0.810
X=0.570 Y=-0.667 Z=0.480
X=0.589 Y=0.808 Z=-0.019
X=0.608 Y=0.707 Z=0.361
X=0.647 Y=0.061 Z=-0.760
X=0.651 Y=0.485 Z=-0.584
X=0.652 Y=-0.242 Z=0.719
X=0.655 Y=0.444 Z=0.612
X=0.670 Y=-0.727 Z=-0.147
X=0.708 Y=0.646 Z=-0.284
X=0.780 Y=-0.202 Z=-0.592
X=0.804 Y=-0.465 Z=-0.371
X=0.810 Y=-0.404 Z=0.426
X=0.815 Y=0.020 Z=0.579
X=0.817 Y=-0.566 Z=0.110
X=0.824 Y=0.545 Z=0.154
X=0.848 Y=0.222 Z=-0.481
X=0.883 Y=0.283 Z=0.375
X=0.911 Y=0.384 Z=-0.152
X=0.950 Y=-0.303 Z=-0.079
X=0.955 Y=-0.040 Z=-0.294
X=0.955 Y=-0.141 Z=0.262
X=0.991 Y=0.121 Z=0.051
