Ambient
X=-0.036 Y=0.625 Z=0.780
X=-0.123 Y=0.292 Z=-0.949
X=-0.231 Y=-0.458 Z=0.858
X=-0.357 Y=-0.875 Z=0.327
X=-0.397 Y=0.875 Z=0.276
X=-0.427 Y=-0.375 Z=-0.823
X=-0.452 Y=0.708 Z=-0.542
X=-0.563 Y=0.208 Z=0.800
X=-0.769 Y=-0.625 Z=-0.136
X=-0.864 Y=0.042 Z=-0.501
X=-0.888 Y=0.458 Z=0.037
X=-0.904 Y=-0.208 Z=0.373
X=0.053 Y=-0.792 Z=-0.609
X=0.063 Y=0.958 Z=-0.279
X=0.286 Y=-0.958 Z=0.000
X=0.299 Y=-0.042 Z=0.953
X=0.421 Y=-0.125 Z=-0.899
X=0.429 Y=-0.708 Z=0.560
X=0.596 Y=0.542 Z=-0.593
X=0.605 Y=0.792 Z=0.081
X=0.709 Y=-0.542 Z=-0.451
X=0.709 Y=0.375 Z=0.597
X=0.898 Y=-0.292 Z=0.328
X=0.969 Y=0.125 Z=-0.213
